groupA,groupB,groupC
calculator,calculator,ti-83 plus calculator
calculator,calculator,ti-84 plus calculator
calculator,calculator,ti-84 plus CE calculator
calculator,calculator,ti-89 calculator
Phones,samsung_galaxy,Samsung Galaxy s4
Phones,samsung_galaxy,Samsung Galaxy s5
Phones,samsung_galaxy,Samsung Galaxy s6
Phones,samsung_galaxy,Samsung Galaxy s7
Phones,samsung_galaxy,Samsung Galaxy s8
Phones,samsung_galaxy,Samsung Galaxy s9
Phones,samsung_galaxy,Samsung Galaxy s10
Phones,samsung_galaxy,Samsung Galaxy s20
Phones,samsung_galaxy_note,Samsung Galaxy Note 5
Phones,samsung_galaxy_note,Samsung Galaxy Note 8
Phones,samsung_galaxy_note,Samsung Galaxy Note 9
Phones,iPhone,iPhone 6 plus
Phones,iPhone,iPhone 6
Phones,iPhone,iPhone 7 plus
Phones,iPhone,iPhone 7
Phones,iPhone,iPhone 8 plus
Phones,iPhone,iPhone 8
Phones,iPhone,iPhone XS Max
Phones,iPhone,iPhone XS
Phones,iPhone,iPhone XR
Phones,iPhone,iPhone X
Phones,iPhone,iPhone 11 Pro
Phones,iPhone,iPhone 11 Pro Max
Phones,iPhone,iPhone 11
Phones,iPhone,iPhone 12 mini
Phones,iPhone,iPhone 12
Phones,iPhone,iPhone 12 Pro
Phones,iPhone,iPhone 12 Pro Max
calculator,Apple Watch,Apple Watch Series 1
calculator,Apple Watch,Apple Watch Series 3
calculator,Apple Watch,Apple Watch Series 4
calculator,Apple Watch,Apple Watch Series 5
calculator,Apple Watch,Apple Watch Series 6
calculator,Apple Watch,Apple Watch SE
calculator,Apple Watch,Apple Watch Nike
calculator,Apple Watch,Apple Watch Hermes
calculator,AirPods,Apple Airpods 1st Generation
calculator,AirPods,Apple Airpods 2nd Generation
calculator,AirPods,Apple Airpods Pro
calculator,AirPods,Apple AirPods Max
calculator,Apple Pencil,Apple Pencil 1st Generation
calculator,Apple Pencil,Apple Pencil 2nd Generation
calculator,Go Pro,GoPro Hero 8 Black
calculator,Go Pro,GoPro Max
calculator,Go Pro,GoPro Hero 7 Black
calculator,Go Pro,GoPro Hero 8 Silver
calculator,PlayStation,PlayStation 1
calculator,PlayStation,PlayStation 2
calculator,PlayStation,PlayStation 3
calculator,PlayStation,PlayStation 4
calculator,PlayStation,PlayStation 5
calculator,xBox,Xbox 360
calculator,xBox,Xbox One
calculator,xBox,Xbox One S
calculator,xBox,Xbox One X
calculator,Nintendo Wii,Nintendo Wii
calculator,Nintendo Wii,Nintendo Wii U
calculator,Nintendo Switch,Nintendo Switch
calculator,Nintendo Switch,Nintendo Switch Lite
calculator,Nintendo DS,Nintendo DS
calculator,Nintendo DS,Nintendo 3DS
calculator,Nintendo DS,Nintendo 2DS
calculator,Cameras,Canon EOS 5D Mark II
calculator,Cameras,Canon EOS 5D Mark III
calculator,Cameras,Canon EOS 6D
calculator,Cameras,Canon EOS 5D Mark IV
calculator,Cameras,Canon EOS 80D
calculator,Cameras,Canon EOS Rebel T6
calculator,Cameras,Canon EOS 7D Mark II
calculator,Cameras,Canon EOS 6D Mark II
calculator,Cameras,Canon EOS Rebel T7I
calculator,Cameras,Canon EOS 70D
calculator,Cameras,Canon EOS M50
calculator,Cameras,Canon EOS 60D
calculator,Cameras,Canon EOS
calculator,Cameras,Canon PowerShot
calculator,Cameras,Canon EOS Rebel
calculator,Cameras,Canon EOS Digital Rebel
calculator,Cameras,Canon EOS M
calculator,Cameras,Canon EOS Rebel T
calculator,Cameras,Canon PowerShot ELPH
calculator,Cameras,Canon EOS R
calculator,Cameras,Canon PowerShot SD
calculator,Cameras,Nikon COOLPIX
calculator,Cameras,Panasonic LUMIX
calculator,Cameras,Canon IXUS
calculator,Cameras,Nikon D
calculator,Cameras,Nikon 1
calculator,Cameras,Nikon Z
calculator,Cameras,Nikon D3
calculator,Cameras,Nikon D750
calculator,Cameras,Nikon D850
calculator,Cameras,Nikon D5600
calculator,Cameras,Nikon D3500
calculator,Cameras,Nikon Coolpix P900
calculator,Cameras,Nikon D7500
calculator,Cameras,Nikon D810
calculator,Cameras,Nikon D700
calculator,Cameras,Nikon D5300
calculator,Cameras,Nikon D3300
calculator,Cameras,Nikon D7200
calculator,Cameras,Sony Alpha Nex-7
calculator,Cameras,Sony A7R III
calculator,Cameras,Sony Alpha a6000
calculator,Cameras,Sony Alpha a7 III
calculator,Cameras,Sony A7
calculator,Cameras,Sony A7II
calculator,Cameras,Sony Alpha a6400
calculator,Cameras,Alpha A6300
calculator,Cameras,Sony Alpha Nex-5N
calculator,Cameras,Sony Alpha a6500
calculator,Cameras,Sony Alpha a7R IV
calculator,Cameras,Sony A7III
calculator,Cameras,Fujifilm X-T3
calculator,Cameras,Fujifilm X-H1
calculator,Cameras,Fujifilm X100F
calculator,Cameras,Fujifilm X-T2
calculator,Cameras,Fujifilm X-Pro2
calculator,Cameras,Fujifilm X-T20
calculator,Cameras,Fujifilm X100
calculator,Cameras,Fujifilm X100T
calculator,Cameras,Fujifilm X-T30
calculator,Cameras,Fujifilm X-T1
calculator,Cameras,Fujifilm X-E3
calculator,Cameras,FinePix XP130
calculator,Cameras,Fujifilm X Series
calculator,Cameras,Fujifilm FinePix XP Series
calculator,Cameras,Fujifilm FinePix S Series
calculator,Cameras,Fujifilm FinePix J Series
calculator,Cameras,Fujifilm XF
calculator,Cameras,Fujifilm FinePix HS Series
calculator,Cameras,Fujifilm FinePix X Series
calculator,Cameras,Fujifilm Instax
calculator,Cameras,Fujifilm GFX Series
calculator,Cameras,Fujifilm FinePix A Series
calculator,Cameras,Fujifilm FinePix F Series
calculator,Cameras,Fujifilm FinePix Z Series
calculator,Cameras,Olympus PEN
calculator,Cameras,Olympus OM-D
calculator,Cameras,Olympus Stylus
calculator,Cameras,Olympus Tough
calculator,Cameras,Olympus EVOLT
calculator,Cameras,Olympus CAMEDIA
calculator,Cameras,Olympus FE
calculator,Cameras,Olympus Stylus Tough
calculator,Cameras,Olympus X-Series
calculator,Cameras,Olympus SP Series
calculator,Cameras,Leica X Vario
calculator,Cameras,Leica CL
calculator,Cameras,Leica M10
calculator,Cameras,Leica Q
calculator,Cameras,Leica SL
calculator,Cameras,Leica M
calculator,Cameras,Leica M8
calculator,Cameras,Leica D-Lux 7
calculator,Cameras,Leica Q2
calculator,Cameras,Leica M9
calculator,Cameras,Leica T
calculator,Cameras,Leica M-P
calculator,Cameras,Leica X
calculator,Cameras,Leica D-LUX
calculator,Cameras,Leica TL
calculator,Cameras,Leica S
calculator,Cameras,Leica C-LUX
